date	close
28-May-14	4
29-May-14	3
30-May-14	3
31-May-14	3
01-Jun-14	3
02-Jun-14	4
03-Jun-14	4
04-Jun-14	1
05-Jun-14	2
06-Jun-14	2
07-Jun-14	3
08-Jun-14	3
09-Jun-14	5
10-Jun-14	5
11-Jun-14	2
12-Jun-14	2
13-Jun-14	5
14-Jun-14	3
15-Jun-14	1
16-Jun-14	5
17-Jun-14	4
18-Jun-14	3
19-Jun-14	9
20-Jun-14	7
21-Jun-14	2
22-Jun-14	2
23-Jun-14	9
24-Jun-14	5
25-Jun-14	7
26-Jun-14	11
27-Jun-14	10
28-Jun-14	3
29-Jun-14	5
30-Jun-14	5
01-Jul-14	7
02-Jul-14	1
03-Jul-14	6
04-Jul-14	5
05-Jul-14	4
06-Jul-14	4
07-Jul-14	4
08-Jul-14	6
09-Jul-14	9
10-Jul-14	5
12-Jul-14	6
13-Jul-14	3
14-Jul-14	5
15-Jul-14	3
16-Jul-14	7
17-Jul-14	5
18-Jul-14	3
19-Jul-14	2
20-Jul-14	2
21-Jul-14	3
22-Jul-14	4
23-Jul-14	8
24-Jul-14	2
25-Jul-14	1
26-Jul-14	1
27-Jul-14	3
28-Jul-14	4
29-Jul-14	7
30-Jul-14	4
31-Jul-14	4
01-Aug-14	2
02-Aug-14	2
03-Aug-14	2
04-Aug-14	5
05-Aug-14	7
06-Aug-14	3
07-Aug-14	1
08-Aug-14	2
10-Aug-14	2
11-Aug-14	8
12-Aug-14	7
13-Aug-14	4
14-Aug-14	5
15-Aug-14	1
16-Aug-14	4
17-Aug-14	6
18-Aug-14	7
19-Aug-14	3
20-Aug-14	3
21-Aug-14	11
22-Aug-14	1
23-Aug-14	1
24-Aug-14	6
25-Aug-14	3
26-Aug-14	2
27-Aug-14	1
28-Aug-14	4
29-Aug-14	7
30-Aug-14	2
31-Aug-14	3
01-Sep-14	3
02-Sep-14	6
04-Sep-14	4
05-Sep-14	3
06-Sep-14	3
07-Sep-14	4
08-Sep-14	6
09-Sep-14	5
10-Sep-14	4
11-Sep-14	3
13-Sep-14	2
14-Sep-14	4
15-Sep-14	1
16-Sep-14	4
17-Sep-14	2
18-Sep-14	2
19-Sep-14	2
20-Sep-14	2
21-Sep-14	5
22-Sep-14	8
23-Sep-14	6
24-Sep-14	4
25-Sep-14	2
26-Sep-14	5
27-Sep-14	2
28-Sep-14	5
29-Sep-14	3
30-Sep-14	1
01-Oct-14	3
02-Oct-14	2
03-Oct-14	4
04-Oct-14	1
05-Oct-14	3
06-Oct-14	3
07-Oct-14	3
08-Oct-14	4
09-Oct-14	5
10-Oct-14	3
11-Oct-14	4
12-Oct-14	5
13-Oct-14	4
14-Oct-14	4
15-Oct-14	2
16-Oct-14	3
17-Oct-14	4
18-Oct-14	3
19-Oct-14	3
20-Oct-14	2
21-Oct-14	5
22-Oct-14	4
23-Oct-14	4
24-Oct-14	7
25-Oct-14	2
26-Oct-14	2
27-Oct-14	2
28-Oct-14	1
29-Oct-14	1
30-Oct-14	3
01-Nov-14	2
02-Nov-14	2
03-Nov-14	6
04-Nov-14	8
05-Nov-14	3
06-Nov-14	1
07-Nov-14	2
08-Nov-14	4
09-Nov-14	2
10-Nov-14	4
11-Nov-14	3
12-Nov-14	4
13-Nov-14	1
14-Nov-14	1
15-Nov-14	2
16-Nov-14	1
17-Nov-14	1
18-Nov-14	5
19-Nov-14	4
20-Nov-14	2
21-Nov-14	2
22-Nov-14	3
23-Nov-14	2
24-Nov-14	7
25-Nov-14	4
26-Nov-14	5
27-Nov-14	2
28-Nov-14	3
29-Nov-14	5
30-Nov-14	10
01-Dec-14	6
02-Dec-14	4
03-Dec-14	4
04-Dec-14	2
05-Dec-14	2
06-Dec-14	2
07-Dec-14	6
08-Dec-14	3
09-Dec-14	5
10-Dec-14	2
11-Dec-14	2
12-Dec-14	4
13-Dec-14	1
14-Dec-14	1
15-Dec-14	5
16-Dec-14	7
17-Dec-14	4
18-Dec-14	4
19-Dec-14	6
20-Dec-14	3
21-Dec-14	5
22-Dec-14	5
23-Dec-14	6
24-Dec-14	10
25-Dec-14	2
26-Dec-14	8
27-Dec-14	8
28-Dec-14	5
29-Dec-14	12
30-Dec-14	4
31-Dec-14	3
01-Jan-15	6
02-Jan-15	6
03-Jan-15	5
04-Jan-15	5
05-Jan-15	10
06-Jan-15	9
07-Jan-15	4
08-Jan-15	4
09-Jan-15	3
10-Jan-15	6
11-Jan-15	3
12-Jan-15	4
13-Jan-15	4
14-Jan-15	3
15-Jan-15	3
16-Jan-15	5
17-Jan-15	1
18-Jan-15	5
19-Jan-15	6
20-Jan-15	6
21-Jan-15	1
22-Jan-15	4
23-Jan-15	4
24-Jan-15	3
25-Jan-15	3
26-Jan-15	1
27-Jan-15	2
28-Jan-15	4
29-Jan-15	1
30-Jan-15	4
31-Jan-15	1
02-Feb-15	4
03-Feb-15	3
04-Feb-15	3
05-Feb-15	7
06-Feb-15	1
07-Feb-15	5
08-Feb-15	1
09-Feb-15	6
10-Feb-15	3
11-Feb-15	4
12-Feb-15	5
13-Feb-15	4
14-Feb-15	5
15-Feb-15	1
16-Feb-15	2
17-Feb-15	5
18-Feb-15	2
19-Feb-15	5
20-Feb-15	5
21-Feb-15	3
22-Feb-15	5
23-Feb-15	5
24-Feb-15	4
25-Feb-15	7
26-Feb-15	2
27-Feb-15	5
28-Feb-15	2
01-Mar-15	3
02-Mar-15	3
03-Mar-15	5
04-Mar-15	6
05-Mar-15	1
06-Mar-15	4
07-Mar-15	2
08-Mar-15	4
09-Mar-15	9
11-Mar-15	2
12-Mar-15	4
13-Mar-15	4
14-Mar-15	3
15-Mar-15	1
16-Mar-15	4
17-Mar-15	6
18-Mar-15	1
19-Mar-15	2
20-Mar-15	1
21-Mar-15	3
22-Mar-15	2
23-Mar-15	2
24-Mar-15	4
25-Mar-15	4
26-Mar-15	3
27-Mar-15	3
29-Mar-15	3
30-Mar-15	3
31-Mar-15	9
01-Apr-15	9
02-Apr-15	5
03-Apr-15	7
04-Apr-15	3
05-Apr-15	5
06-Apr-15	3
07-Apr-15	4
08-Apr-15	10
09-Apr-15	3
10-Apr-15	2
11-Apr-15	3
12-Apr-15	3
13-Apr-15	4
14-Apr-15	6
15-Apr-15	8
16-Apr-15	2
17-Apr-15	6
18-Apr-15	5
19-Apr-15	4
20-Apr-15	3
21-Apr-15	2
22-Apr-15	2
23-Apr-15	2
24-Apr-15	2
25-Apr-15	7
26-Apr-15	1
27-Apr-15	3
28-Apr-15	2
29-Apr-15	3
30-Apr-15	4
01-May-15	3
02-May-15	1
03-May-15	1
04-May-15	4
05-May-15	3
07-May-15	3
08-May-15	1
09-May-15	5
10-May-15	3
11-May-15	3
12-May-15	2
13-May-15	4
14-May-15	2
15-May-15	3
16-May-15	1
17-May-15	4
18-May-15	5
19-May-15	2
20-May-15	1
21-May-15	1
22-May-15	3
23-May-15	3
24-May-15	5
25-May-15	3
26-May-15	3
27-May-15	2
28-May-15	3
29-May-15	9
30-May-15	2
31-May-15	3
01-Jun-15	6
02-Jun-15	3
03-Jun-15	3
04-Jun-15	2
05-Jun-15	3
06-Jun-15	2
07-Jun-15	3
08-Jun-15	4
09-Jun-15	1
10-Jun-15	7
11-Jun-15	3
12-Jun-15	2
13-Jun-15	3
14-Jun-15	1
15-Jun-15	6
16-Jun-15	9
17-Jun-15	3
18-Jun-15	4
19-Jun-15	7
20-Jun-15	3
21-Jun-15	5
22-Jun-15	10
23-Jun-15	11
24-Jun-15	5
25-Jun-15	3
26-Jun-15	1
27-Jun-15	3
28-Jun-15	3
29-Jun-15	6
30-Jun-15	5
01-Jul-15	5
02-Jul-15	2
03-Jul-15	4
04-Jul-15	5
05-Jul-15	7
06-Jul-15	9
07-Jul-15	8
08-Jul-15	4
09-Jul-15	3
10-Jul-15	2
11-Jul-15	2
12-Jul-15	1
13-Jul-15	4
14-Jul-15	3
15-Jul-15	6
16-Jul-15	8
17-Jul-15	4
18-Jul-15	5
19-Jul-15	9
20-Jul-15	7
21-Jul-15	6
22-Jul-15	4
23-Jul-15	2
24-Jul-15	7
25-Jul-15	3
26-Jul-15	6
27-Jul-15	7
28-Jul-15	7
29-Jul-15	2
30-Jul-15	3
31-Jul-15	2
01-Aug-15	4
02-Aug-15	6
03-Aug-15	5
04-Aug-15	3
05-Aug-15	3
06-Aug-15	3
07-Aug-15	6
09-Aug-15	6
10-Aug-15	7
11-Aug-15	8
12-Aug-15	5
13-Aug-15	8
14-Aug-15	6
15-Aug-15	2
16-Aug-15	2
17-Aug-15	5
18-Aug-15	1
19-Aug-15	7
20-Aug-15	4
21-Aug-15	1
22-Aug-15	6
23-Aug-15	5
